Satimo 1    SG24-ATL2989S      400-10000 Mhz,,,,,,,,,,,,,,,,,,,Phantom Wrist Speag: SHO-GFPC V1: 0.3 – 3 GHz,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
These tests are performed to track the dielectric drift of the phantom wrists that are used in the lab.,,,,,,,,,,,,,,,,,,,Mid chan TRP only to track the dielectric of the phantom arms.,,,,,
"Reference Device: Selene L003P                                            Phantom Wrists: 2-1659, 2-1660, 2-1621, old 2-1010",,,,,,,,,,,,,,,,,,, ,,Phantom Wrists - Serial Numbers,,,
,,,,,,,,,,,,,,,,,,,LTE TRP,,2-1659,2-1660,2-1621,old 2-1010
,,,,,,,,,,,,,,,,,,,Band Chan,Frequency (MHz),2-1659 TRP,2-1660 TRP,2-1621 TRP,Old 201010 TRP
,,,,,,,,,,,,,,,,,,,,,12/30/24,NA,12/30/24,2/7/25
,,,,,,,,,,,,,,,,,,,B71 Mid,680.5,9.25,,9.26,6.45
,,,,,,,,,,,,,,,,,,,B28 Mid,725.5,7.75,,7.82,5.15
,,,,,,,,,,,,,,,,,,,B13 Mid,782,6.70,,6.93,4.52
,,,,,,,,,,,,,,,,,,,B5 Mid,836.5,7.60,,7.68,5.41
,,,,,,,,,,,,,,,,,,,B8 Mid,897.5,10.15,,10.15,8.00
,,,,,,,,,,,,,,,,,,,B3 Mid,1747.5,13.24,,13.62,13.18
,,,,,,,,,,,,,,,,,,,B2 Mid,1880,12.82,,13.01,12.72
,,,,,,,,,,,,,,,,,,,B1 Mid,1950,11.86,,12.06,11.48
,,,,,,,,,,,,,,,,,,,B7 Mid,2535,13.62,,13.71,13.84
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,LTE,,FreeSpace,,,
,,,,,,,,,,,,,,,,,,,TRP Band Chan,TRP Freqs Ascending,TRP,,,
,,,,,,,,,,,,,,,,,,,,,12/30/24,,,
,,,,,,,,,,,,,,,,,,,B71 Mid,680.5,-4.61,,,
,,,,,,,,,,,,,,,,,,,B28 Mid,725.5,-4.60,,,
,,,,,,,,,,,,,,,,,,,B13 Mid,782,-4.81,,,
,,,,,,,,,,,,,,,,,,,B5 Mid,836.5,-3.78,,,
,,,,,,,,,,,,,,,,,,,B8 Mid,897.5,-7.60,,,
,,,,,,,,,,,,,,,,,,,B3 Mid,1747.5,10.83,,,
,,,,,,,,,,,,,,,,,,,B2 Mid,1880,10.50,,,
,,,,,,,,,,,,,,,,,,,B1 Mid,1950,9.96,,,
,,,,,,,,,,,,,,,,,,,B7 Mid,2535,13.39,,,
