Satimo 1     SG24-ATL2989S    400-10000 Mhz, ,Inseego MiFi Reference Device,,
Inseego MiFi Reference Device,,IMEI: 7427,,
,,,, 
,,LTE,LTE,Date
,,Band Chan,Frequency (Mhz),3/3/26
,,,,
,,,,TIS (dBm)
,,,,
,,B71 Low,622,-96.35
,,B71 Mid,634.5,-97.27
,,B71 High,647,-97.29
,,B12 Mid,737.5,-100.14
,,B13 Mid,751,-96.84
,,B28 Low,763,-96.97
,,B28 Mid,780.5,-97.70
,,B20 Low,796,-98.16
,,B28 High,798,-96.94
,,B20 Mid,806,-98.95
,,B20 High,816,-98.65
,,B26 Low,861.5,-100.60
,,B26 Mid,876.5,-101.09
,,B26 High,891.5,-101.46
,,B8 Low,930,-98.52
,,B8 Mid,942.5,-98.70
,,B8 High,955,-98.32
,,B3 Low,1810,-100.17
,,B3 Mid,1842.5,-100.09
,,B3 High,1875,-99.69
,,B25 Low,1932.5,-101.25
,,B25 Mid,1962.5,-102.34
,,B25 High,1992.5,-102.51
,,B66 Low,2115,-100.38
,,B66 Mid,2145,-100.25
,,B66 High,2175,-100.36
,,B7 Low,2630,-98.09
,,B7 Mid,2655,-97.96
,,B7 High,2680,-97.54
