Satimo 1    SG24-ATL2989S      400-10000 Mhz,,,Inseego MiFi Reference Device,,,,#03915,,,,,, 
Inseego MiFi Reference Device   IMEI#7427,,,IMEI: 7427,,,,,,,,,,
,,,, ,,,,,,,,,
,,LTE,LTE,Date,,,,,,,,,
,,Band Chan,Frequency (Mhz),3/3/26,,,,,,,,,
,,,,,,,,,,,,,
,,,,TRP (dBm),,,,,,,,,
,,,,,,,,,,,,,
,,B71 Low,664.58,19.72,,,,,,,,,
,,B71 Mid,680.5,19.71,,,,,,,,,
,,B71 High,696.42,18.47,,,,,,,,,
,,B28 Low,704.58,19.18,,,,,,,,,
,,B12 Mid,707.41,19.04,,,,,,,,,
,,B28 Mid,725.5,18.52,,,,,,,,,
,,B28 High,746.42,16.53,,,,,,,,,
,,B13 Mid,782,19.28,,,,,,,,,
,,B26 Low,814.97,19.03,,,,,,,,,
,,B26 Mid,831.41,20.41,,,,,,,,,
,,B20 Low,833.58,18.80,,,,,,,,,
,,B20 Mid,847,20.19,,,,,,,,,
,,B26 High,848.03,20.65,,,,,,,,,
,,B20 High,860.42,20.48,,,,,,,,,
,,B8 Low,881.58,20.82,,,,,,,,,
,,B8 Mid,897.5,20.91,,,,,,,,,
,,B8 High,913.42,20.27,,,,,,,,,
,,B66 Low,1711.58,20.94,,,,,,,,,
,,B66 Mid,1745,21.17,,,,,,,,,
,,B66 High,1778.42,20.55,,,,,,,,,
,,B25 Low,1850.97,20.59,,,,,,,,,
,,B25 Mid,1882.41,20.49,,,,,,,,,
,,B25 High,1914.03,19.03,,,,,,,,,
,,B1 Low,1921.58,19.64,,,,,,,,,
,,B1 Mid,1950,18.76,,,,,,,,,
,,B1 High,1978.42,18.54,,,,,,,,,
,,B7 Low,2502.62,17.69,,,,,,,,,
,,B7 Mid,2535,18.46,,,,,,,,,
,,B7 High,2567.38,18.10,,,,,,,,,
