32233,,SH600 Used to create Cal File,,,,,,,,,,,,,,Test time: about 20 minutes,,,,,,,,,,,,,,,,,,,,Test Time: about 80 minutes
Monthly Horn Check,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Test time: about 2.5 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,,Horn,Reference Data,Date, , , ,,,,,,,Horn,Reference Data,Date,,,,,,,,,,,,,,Not using these horns for cal file anymore.,,,,,,
,,SH400,NIST,3/3/26,,,,,,,,,,SH2000-457,NIST,3/3/2026,,,,,,,,,,,,,,SH400 &SH2000 combined to make cal file,,Monthly,Monthly,,,
,,Frequency (MHz),Efficiency* (dB),Efficiency,,,,,,,,,,Frequency (MHz),Efficiency* (dB),Efficiency,,,,,,,,,,,,,,SH600,NIST,6/23/2023,11/20/2023,,,
,,600,-0.09,0.5,,,,,,,,,,2000,-0.9,-0.63,,,,,,,,,,,,,,Frequency (MHz),Efficiency* (dB),Efficiency,Efficiency,,,
,,610,-0.09,0.47,,,,,,,,,,2020,-0.74,-0.44,,,,,,,,,,,,,,600,-0.33,-0.55,-0.89,,,
,,620,-0.11,0.46,,,,,,,,,,2040,-0.6,-0.32,,,,,,,,,,,,,,610,-0.27,-0.41,-0.76,,,
,,630,-0.13,0.45,,,,,,,,,,2060,-0.47,-0.23,,,,,,,,,,,,,,620,-0.22,-0.39,-0.74,,,
,,640,-0.16,0.43,,,,,,,,,,2080,-0.37,-0.04,,,,,,,,,,,,,,630,-0.2,-0.55,-0.91,,,
,,650,-0.2,0.37,,,,,,,,,,2100,-0.28,0.1,,,,,,,,,,,,,,640,-0.18,-0.67,-1.04,,,
,,660,-0.24,0.31,,,,,,,,,,2120,-0.22,0.1,,,,,,,,,,,,,,650,-0.16,-0.51,-0.89,,,
,,670,-0.29,0.27,,,,,,,,,,2140,-0.18,0.07,,,,,,,,,,,,,,660,-0.15,-0.53,-0.9,,,
,,680,-0.34,0.22,,,,,,,,,,2160,-0.16,0.12,,,,,,,,,,,,,,670,-0.13,-0.75,-1.13,,,
,,690,-0.39,0.15,,,,,,,,,,2180,-0.14,0.15,,,,,,,,,,,,,,680,-0.13,-0.48,-0.87,,,
,,700,-0.43,0.1,,,,,,,,,,2200,-0.14,0.1,,,,,,,,,,,,,,690,-0.12,-0.29,-0.69,,,
,,710,-0.47,0.09,,,,,,,,,,2220,-0.15,0.01,,,,,,,,,,,,,,700,-0.12,-0.43,-0.83,,,
,,720,-0.5,-0.03,,,,,,,,,,2240,-0.18,-0.01,,,,,,,,,,,,,,710,-0.11,-0.54,-0.94,,,
,,730,-0.52,-0.03,,,,,,,,,,2260,-0.2,-0.03,,,,,,,,,,,,,,720,-0.11,-0.34,-0.76,,,
,,740,-0.53,-0.12,,,,,,,,,,2280,-0.23,-0.13,,,,,,,,,,,,,,730,-0.11,-0.27,-0.69,,,
,,750,-0.54,-0.1,,,,,,,,,,2300,-0.27,-0.2,,,,,,,,,,,,,,740,-0.12,-0.32,-0.76,,,
,,760,-0.54,-0.14,,,,,,,,,,2320,-0.31,-0.21,,,,,,,,,,,,,,750,-0.12,-0.31,-0.77,,,
,,770,-0.54,-0.15,,,,,,,,,,2340,-0.35,-0.25,,,,,,,,,,,,,,760,-0.12,-0.24,-0.71,,,
,,780,-0.53,-0.1,,,,,,,,,,2360,-0.38,-0.37,,,,,,,,,,,,,,770,-0.12,-0.23,-0.69,,,
,,790,-0.51,-0.09,,,,,,,,,,2380,-0.42,-0.42,,,,,,,,,,,,,,780,-0.12,-0.22,-0.67,,,
,,800,-0.49,0,,,,,,,,,,2400,-0.46,-0.37,,,,,,,,,,,,,,790,-0.12,-0.26,-0.69,,,
,,810,-0.45,0.03,,,,,,,,,,2420,-0.49,-0.41,,,,,,,,,,,,,,800,-0.12,-0.19,-0.62,,,
,,820,-0.41,0.1,,,,,,,,,,2440,-0.53,-0.48,,,,,,,,,,,,,,810,-0.11,-0.18,-0.6,,,
,,830,-0.37,0.08,,,,,,,,,,2460,-0.57,-0.48,,,,,,,,,,,,,,820,-0.11,-0.14,-0.58,,,
,,840,-0.33,0.14,,,,,,,,,,2480,-0.6,-0.45,,,,,,,,,,,,,,830,-0.11,-0.1,-0.55,,,
