Satimo 1 - SG24-ATL2989S     400-6000 Mhz,,,,,,,,,SG24-ATL2989S,400-10000 Mhz,,,SH600 Horn used to create a new passive calibration file: Measurement time about 2.5 hours.,,,,,,
Yearly Reference Dipole Measurements -  (Limits: +/- .5 dB of the Average of the previous 4 measurements),,,,,,,,,Satimo 1,,,, ,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Dipoles,Reference Data,Date,,, ,,,,,
,,,,,,,,,SD665,NIST,3/12/26,,,,,,,,
,,,,,,,,,Frequency,Efficiency,Efficiency,,,,,,,,
,,,,,,,,,(Mhz),(dB),(dB),,,,,,,,
,,,,,,,,,625,-0.37,-0.61,,,,,,,,
,,,,,,,,,630,-0.39,-0.02,,,,,,,,
,,,,,,,,,635,-0.42,-0.23,,,,,,,,
,,,,,,,,,640,-0.43,0.1,,,,,,,,
,,,,,,,,,645,-0.41,-0.05,,,,,,,,
,,,,,,,,,650,-0.37,0.24,,,,,,,,
,,,,,,,,,660,-0.35,0.37,,,,,,,,
,,,,,,,,,665,-0.35,0.56,,,,,,,,
,,,,,,,,,670,-0.32,0.44,,,,,,,,
,,,,,,,,,675,-0.33,0.65,,,,,,,,
,,,,,,,,,680,-0.3,0.36,,,,,,,,
,,,,,,,,,685,-0.3,0.58,,,,,,,,
,,,,,,,,,690,-0.28,0.19,,,,,,,,
,,,,,,,,,695,-0.31,0.68,,,,,,,,
,,,,,,,,,700,-0.33,0.03,,,,,,,,
,,,,,,,,,,,, ,, , , , ,, 
,,,,,,,,,SD740,NIST,3/12/26,,,,,,,,
,,,,,,,,,Frequency,Efficiency,Efficiency,,,,,,,,
,,,,,,,,,(Mhz),(dB),(dB),,,,,,,,
,,,,,,,,,690,-0.38,0.15,,,,,,,,
,,,,,,,,,695,-0.32,0.67,,,,,,,,
,,,,,,,,,700,-0.44,0.05,,,,,,,,
,,,,,,,,,705,-0.42,0.8,,,,,,,,
,,,,,,,,,710,-0.56,0.05,,,,,,,,
,,,,,,,,,715,-0.54,0.58,,,,,,,,
,,,,,,,,,720,-0.66,0.06,,,,,,,,
,,,,,,,,,725,-0.61,0.61,,,,,,,,
,,,,,,,,,730,-0.67,0.07,,,,,,,,
,,,,,,,,,735,-0.81,0.58,,,,,,,,
,,,,,,,,,740,-0.72,0.07,,,,,,,,
