,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7/22/25,7/21/25,7/21/25,7/21/25
,,,,,,,,,,LTE Band,Frequency (MHz),Bandwidth (MHz),UL,Fixture Antenna Config,Dipole Used,Dipole Efficiency (dB),RF Cable loss (dB),Conducted Power - Measured at the end of coax (dBm),Calculated TRP (dBm),Measured TRP (dBm),Delta (Calc vs Meas) (dB)
,,,,,,,,,,B71 Low,664.58,10,12@0,Ant 0,SD665,-0.35,0.32,22.88,22.53,23.01,-0.48
,,,,,,,,,,B71 Mid,680.50,,12@19,,,-0.3,0.32,23.06,22.76,23.15,-0.39
,,,,,,,,,,B71 High,696.45,,12@38,,,-0.31,0.32,23.02,22.71,22.82,-0.11
,,,,,,,,,,B28 Low,704.58,10,12@0,Ant 0,SD740,-0.42,0.33,22.88,22.46,22.51,-0.05
,,,,,,,,,,B28 Mid,725.50,,12@19,,,-0.61,0.33,22.90,22.29,22.60,-0.31
,,,,,,,,,,B28 High,746.42,,12@38,,,-0.72,0.33,22.79,22.07,22.39,-0.32
,,,,,,,,,,B13 Low,778.58,10,12@0,Ant 0,SD740,-0.75,0.35,23.52,22.77,23.42,-0.65
,,,,,,,,,,B13 Mid,782.00,,12@19,,,-0.72,0.35,23.50,22.78,23.37,-0.59
,,,,,,,,,,B13 High,785.42,,12@38,,,-0.73,0.35,23.33,22.60,23.21,-0.61
,,,,,,,,,,B5 Low,825.58,10,12@0,Ant 0,SD836,-0.9,0.35,24.02,23.12,23.97,-0.85
,,,,,,,,,,B5 Mid,836.50,,12@19,,,-0.9,0.35,24.03,23.13,23.93,-0.80
,,,,,,,,,,B5 High,847.42,,12@38,,,-0.85,0.35,23.93,23.08,23.79,-0.71
,,,,,,,,,,B8 Low,881.58,10,12@0,Ant 0,SD880,-0.76,0.36,23.98,23.22,23.85,-0.63
,,,,,,,,,,B8 Mid,897.50,,12@19,,,-0.4,0.36,24.05,23.65,23.89,-0.24
,,,,,,,,,,B8 High,913.42,,12@38,,,-0.32,0.36,23.90,23.58,23.71,-0.13
,,,,,,,,,,B3 Low,1711.58,10,12@0,Ant 0,SD1800,-0.46,0.36,21.79,21.33,21.79,-0.46
,,,,,,,,,,B3 Mid,1747.50,,12@19,,,-0.25,0.36,21.75,21.50,21.84,-0.34
,,,,,,,,,,B3 High,1783.42,,12@38,,,-0.3,0.36,21.87,21.57,21.83,-0.26
,,,,,,,,,,B2 Low,1851.58,10,12@0,Ant 0,SD1800,-0.65,0.52,22.13,21.48,21.95,-0.47
,,,,,,,,,,B2 Mid,1880.00,,12@19,,,-0.92,0.52,22.02,21.10,21.73,-0.63
,,,,,,,,,,B2 High,1908.42,,12@38,,,-0.76,0.52,21.98,21.22,21.79,-0.57
,,,,,,,,,,B1 Low,1921.58,10,12@0,Ant 0,SD1900,-0.55,0.51,23.18,22.63,23.19,-0.56
,,,,,,,,,,B1 Mid,1950.00,,12@19,,,-0.72,0.51,23.07,22.35,23.01,-0.66
,,,,,,,,,,B1 High,1978.42,,12@38,,,-0.56,0.51,23.01,22.45,23.36,-0.91
,,,,,,,,,,B7 Low,2502.62,10,12@0,Ant 2,SD2450,-0.36,0.62,22.17,21.81,22.11,-0.30
,,,,,,,,,,B7 Mid,2535.00,,12@19,,,-0.54,0.62,21.72,21.18,21.88,-0.70
,,,,,,,,,,B7 High,2567.38,,12@38,,,-0.7,0.62,22.08,21.38,22.03,-0.65
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Condcted Power Measurement Set up:,,
,,,,,,,,,,,,,,,,,,,"Set up MVG WaveStudio for conducted power measurement. Have cable loss set to ""0"".",,
,,,,,,,,,,,,,,,,,,,Clone existing WaveStudio project that has frequencies in order for graph.,,
,,,,,,,,,,,,,,,,,,,Use RF cable as shown in picture. The cable should stay with fixture.,,
,,,,,,,,,,,,,,,,,,,The same RF cable will be connected to dipoles.,,
,,,,,,,,,,,,,,,,,,,Put phone in a shielded box to help with registering to callbox.,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Radiated Measurement Set up:,,
,,,,,,,,,,,,,,,,,,,Clone a WaveStudio project file that has frequencies in order to graph results.,,
,,,,,,,,,,,,,,,,,,,Use the same RF cable as used in the conducted measurement to connect to dipoles.,,
