Satimo 2     SG64-ATL3333S     400-10000 Mhz,,,,,,,,,SG64-ATL3333S,400-10000 Mhz,,,,
Yearly Reference Dipole Measurements,,,,,,,,, ,,,,,
,,,,,,,,,Dipoles,Reference Data,Date,,,
,,,,,,,,,SD665,NIST,03/12/26,,,
,,,,,,,,,Frequency (MHz),Efficiency* (dB),Efficiency,,,
,,,,,,,,,625,-0.37,-0.69,,,
,,,,,,,,,630,-0.39,-0.54,,,
,,,,,,,,,635,-0.42,-0.36,,,
,,,,,,,,,640,-0.43,-0.51,,,
,,,,,,,,,645,-0.41,-0.69,,,
,,,,,,,,,650,-0.37,-0.49,,,
,,,,,,,,,660,-0.35,-0.47,,,
,,,,,,,,,665,-0.35,-0.45,,,
,,,,,,,,,670,-0.32,-0.41,,,
,,,,,,,,,675,-0.33,0.1,,,
,,,,,,,,,680,-0.3,-0.39,,,
,,,,,,,,,685,-0.3,-0.15,,,
,,,,,,,,,690,-0.28,-0.4,,,
,,,,,,,,,695,-0.31,-0.2,,,
,,,,,,,,,700,-0.33,-0.54,,,
,,,,,,,,,,,,,, 
,,,,,,,,,SD740,NIST,03/12/26,,,
,,,,,,,,,Frequency (MHz),Efficiency* (dB),Efficiency,,,
,,,,,,,,,690,-0.38,-0.39,,,
,,,,,,,,,695,-0.32,-0.18,,,
,,,,,,,,,700,-0.44,-0.48,,,
,,,,,,,,,705,-0.42,-0.41,,,
,,,,,,,,,710,-0.56,-0.53,,,
,,,,,,,,,715,-0.54,-0.53,,,
,,,,,,,,,720,-0.66,-0.54,,,
,,,,,,,,,725,-0.61,-0.28,,,
,,,,,,,,,730,-0.67,-0.48,,,
,,,,,,,,,735,-0.81,-0.42,,,
,,,,,,,,,740,-0.72,-0.37,,,
,,,,,,,,,745,-0.72,-0.07,,,
,,,,,,,,,750,-0.76,-0.27,,,
,,,,,,,,,755,-0.87,-0.3,,,
,,,,,,,,,760,-0.79,-0.24,,,
,,,,,,,,,765,-0.87,-0.05,,,
,,,,,,,,,770,-0.76,-0.25,,,
,,,,,,,,,775,-0.78,-0.38,,,
,,,,,,,,,780,-0.72,-0.3,,,
,,,,,,,,,785,-0.73,-0.35,,,
,,,,,,,,,790,-0.71,-0.37,,,
,,,,,,,,,795,-0.68,-0.67,,,
,,,,,,,,,800,-0.62,-0.63,,,
,,,,,,,,,,,,,, 
,,,,,,,,,SD836,NIST,03/12/26,,,
,,,,,,,,,Frequency (MHz),Efficiency* (dB),Efficiency,,,
,,,,,,,,,810,-0.78,-0.64,,,
,,,,,,,,,815,-0.76,-0.72,,,
,,,,,,,,,820,-0.76,-0.43,,,
,,,,,,,,,825,-0.88,-0.6,,,
,,,,,,,,,830,-0.9,-0.33,,,
,,,,,,,,,835,-0.89,-0.39,,,
,,,,,,,,,840,-0.89,-0.29,,,
,,,,,,,,,845,-0.84,-0.54,,,
,,,,,,,,,850,-0.85,-0.31,,,
,,,,,,,,,855,-0.93,-0.32,,,
,,,,,,,,,,,,,, 
,,,,,,,,,SD880,NIST,03/12/26,,,
,,,,,,,,,Frequency (MHz),Efficiency* (dB),Efficiency,,,
,,,,,,,,,860,-0.89,-0.4,,,
,,,,,,,,,865,-0.89,-0.48,,,
,,,,,,,,,870,-0.81,-0.34,,,
,,,,,,,,,875,-0.81,-0.25,,,
,,,,,,,,,880,-0.76,-0.38,,,
,,,,,,,,,885,-0.72,-0.51,,,
,,,,,,,,,890,-0.62,-0.47,,,
,,,,,,,,,895,-0.46,-0.37,,,
,,,,,,,,,900,-0.35,-0.54,,,
